pct,first name,last name,attendance,votes available legend,remote town meeting vote,article 1: reports,consent agenda: articles 2-6,article 7: a) appropriation of capital expeditures,article 7: b) appropriation of capital expenditures,article 8: opeb stabilization fund,motion to terminate debate: discussion on article 9 crockett amendment,article 9 crockett amendment: fy21 budget appropriation,motion to terminate debate: discussion on article 9 main motion,aricle 9: fy21 budget appropriation main motion,aricle 10: fy21 community preservation committee budget and projects,motion to terminate debate: discussion on article 11,article 11: community preservation committee amend 2018 appropriation for belmont housing,article 12: home rule petition for special act of the massachusetts legislature - remote participation of town meeting,vote date
8,Ann,Rittenburg,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Paul,Roberts,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,-,-,-,06-16-2020
2,John,Robotham,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Suzanne,Robotham,Here,,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Deborah,Rosales,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Stephen,Rosales,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
7,Heather,Rubeski,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Brian,Saper,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,Judith Anania,Sarno,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
3,Robert,Sarno,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Ogden,Sawyer,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Maryann,Scali,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Elizabeth,Schmidt,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
8,Ellen,Schreiber,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
7,Kimberley,Selness,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,06-16-2020
5,Andrea,Serra Masciari,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,elyse,shuster,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Judith,Singler,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Laurie,Slap,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
6,Michael,Smith,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
7,Brett,Sorenson,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,Vincent,Stanton,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,DANIELL,STEVENS,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,-,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
8,Scott,Stratford,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,06-16-2020
8,Ellen,Sugarman,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,-,-,-,-,06-16-2020
5,John,Sullivan,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Johanna,Swift,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,-,06-16-2020
1,Yvette,Tenney,Barely here...,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,PHIL,THAYER,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Emma,Thurston,-,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
